start,goal,rl_success,rl_distance_km,rl_time_min,rl_cost,rl_num_nodes,dijkstra_success,dijkstra_distance_km,dijkstra_time_min,dijkstra_cost,dijkstra_num_nodes,distance_ratio,time_ratio,cost_ratio
1951415067,386248541,False,428.3904406349537,642.5856609524379,393.25821062322973,501,True,2.020842740988975,2.4863323323884896,1.8551137581276258,16,,,
386248448,307899335,False,147.71404605107094,221.5710690766057,135.60004127977425,501,True,2.679714424329969,3.4451596152334267,2.4599514824170567,10,,,
2722331693,386242339,False,80.22087372635998,96.26504847163334,73.64197298497356,501,True,1.6680227222445974,1.9264084412103666,1.5312284514484789,5,,,
386248446,7115732954,False,125.62197783820983,150.81411692454506,115.31973996987914,501,True,1.3444209845987198,1.8720123344106043,1.2341652394109675,8,,,
307562211,386242411,False,198.08829243673011,237.7059509240741,181.84310395352352,501,True,2.2011023412281254,2.6571818327437335,2.0205902980164163,11,,,
2053678761,386248600,False,23.918455589615533,35.87768338442354,21.956906956424213,501,True,3.7149369765522464,5.240134865327784,3.4102756023491674,18,,,
2722331679,12168852782,False,80.19151181131484,96.19648500545578,73.61501903578177,501,True,1.7983450876829765,2.5798872945233797,1.6508631009997639,13,,,
386242464,307899024,False,203.6873350437621,244.42480205251226,186.9829699915727,501,True,1.8612285133750692,2.2334742160500833,1.708589467229779,7,,,
12145005374,307897809,False,6.754486678529729,6.754486678529715,6.200552330112565,501,True,4.126347107905185,4.97078250334612,3.787946056078992,16,,,
2722331549,251410675,False,39.970467380781685,60.08858418584186,36.692495884459866,501,True,1.8114477503983122,2.142305680071362,1.6628912164875769,7,,,
307562233,386248637,False,427.6428115240309,641.4314717549496,392.57189445348615,501,True,1.9700074211132692,2.8676208868311783,1.80844743452538,13,,,
275074129,386248600,False,6.942649548909181,6.9455943941512865,6.37328399424932,501,True,3.255918820051552,4.4632044593354445,2.988901449831941,20,,,
386248560,1951411738,False,70.07808755513155,105.11713133269794,64.33099504970575,501,True,2.372474079480337,2.8678297969305246,2.1779078680270048,14,,,
275074195,386242206,False,44.5190043819513,53.42280525834112,40.868008109668544,501,True,2.9298898723413114,3.572597122354084,2.689610082830692,12,,,
386248469,307899022,False,39.52474816404501,59.28712224606677,36.28333002783046,501,True,2.2733572570357152,3.003564945452396,2.0869195999894212,9,,,
386248444,307898755,False,39.34404674996396,59.01607012494521,36.117447907180726,501,True,3.107122340670703,3.8902019687030314,2.852307745402828,9,,,
7115732939,1612612826,False,536.7197099139892,643.9756686449241,492.70341423620255,501,True,3.4443634329539004,4.761841237896258,3.1618917508333433,15,,,
386242211,307898797,False,203.31371121478492,244.0452162936548,186.63998699173735,501,True,2.967153626804294,3.6612018553616044,2.723817842881303,12,,,
386248608,1612612836,False,24.968073336631935,37.452110004948125,22.920445723578542,501,True,2.575349707359973,3.753874998126015,2.3641456988263023,9,,,
